Cat Island (South), Cat Island, Bahamas:21.988779602668703
Munro Park, ON, Canada:20.93623856604902
Muskoka District Municipality, ON, Canada:21.27694400374175
Nelsons Bay Observatory, ON, Canada:20.5911976181865
New Liskeard, ON, Canada:19.913540109161776
Newcastle Observatory, ON, Canada:19.841965354654885
Niagara Falls, ON, Canada:17.75741985706702
Norfolk County, ON, Canada:20.875460673448643
North Frontenac Dark Sky Preserve, ON, Canada:21.807982074157998
North Glengarry, ON, Canada:19.523302254902422
OAOG Moose Creek, ON, Canada:20.93623856604902
Oak Hills, ON, Canada:19.84553816820134
Oakdale, ON, Canada:18.515453370310052
Oakville, ON, Canada:17.577497680060876
Old Hastings Observatory, ON, Canada:20.93623856604902
Orangeville, ON, Canada:18.25378890558973
Oxford Observatory, ON, Canada:21.39737254438421
Oxtongue Lake, ON, Canada:20.93623856604902
Parry Sound, ON, Canada:19.679917094080317
Peawanuck, ON, Canada:21.66822378191869
Pelee Island, ON, Canada:21.264962995211587
Perth, ON, Canada:19.809025701721488
Petawawa, ON, Canada:19.320607078253524
Petawawa Terrace Provincial Nature Reserve, ON, Canada:20.07589132405651
Peterborough, ON, Canada:18.606064551254608
Pinhey's Point, ON, Canada:20.010219511015233
Point Pelee National Park, ON, Canada:20.93623856604902
Ponte di Legno Observatory, ON, Canada:20.93623856604902
Port Burwell Provincial Park, ON, Canada:20.60307347886309
Port Carling, ON, Canada:21.092328737440624
Port Colborne, ON, Canada:19.095069651929876
Port Perry, ON, Canada:19.392377894562543
Port Perry Astronomical Observatory, ON, Canada:19.392377894562543
Pte. au Baril, ON, Canada:21.726391085214487
Quadeville Road, ON, Canada:21.750381304565643
Restoule Provincial Park, ON, Canada:21.919792442297744
Richmond Hill, ON, Canada:19.09936514728564
Rideau Ferry Observatory, ON, Canada:21.193282888253282
Rondeau Provincial Park, ON, Canada:21.30045873594501
Sandy Flats Observatory, ON, Canada:20.93623856604902
Seaway Observatory, ON, Canada:20.93623856604902
Sharbot Lake, ON, Canada:20.93623856604902
Sioux Lookout, ON, Canada:19.38052408514891
SkyShed Observatories, ON, Canada:20.889331908543653
Smiths Falls, ON, Canada:19.474570266932645
South Baymouth, ON, Canada:21.616288688767956
South Bruce Peninsula, ON, Canada:20.49045658191635
St Catharines, ON, Canada:17.99830480599983
St. Thomas, ON, Canada:19.011852581242216
Starlight Cascade Observatory, ON, Canada:21.888659799582417
Stirling-Rawdon, ON, Canada:20.499548133813782
Stratford, ON, Canada:20.537781924563678
Strathroy, ON, Canada:18.997202254977818
Sydenham, ON, Canada:17.61280642363854
Tatlock Quarry Outlook, ON, Canada:21.535568770921827
Temiskaming Shores, ON, Canada:19.913540109161776
The Blue Marble Observatory, ON, Canada:20.93623856604902
The Glenelg Observatory, ON, Canada:20.93623856604902
Thunder Bay Observatory, ON, Canada:18.17129430185206
Tilbury, ON, Canada:18.005609113778107
Tillsonburg, ON, Canada:19.02135647101807
Tiny Marsh Provincial Wildlife Area, ON, Canada:21.002408065799
Tobermory, ON, Canada:21.364141773620528
Toronto, ON, Canada:16.943879664311748
Toronto Islands, ON, Canada:16.943879664311748
Torrance Barrens Dark-Sky Preserve, ON, Canada:21.567983482263994
Trenton, ON, Canada:20.435750063523468
Webequie Indian Reserve, ON, Canada:21.987803727018587
Westport, ON, Canada:21.977375171976405
Weymouth Pines Observatory, ON, Canada:20.93623856604902
Whippoorwill Hill Observatory, ON, Canada:19.90322684837682
WhistleStop  Observatory, ON, Canada:20.93623856604902
White River, ON, Canada:21.647871275078305
Wiarton, ON, Canada:20.49045658191635
Willowbrook Observatory, ON, Canada:17.055300947752027
Winchester, ON, Canada:19.68866969127821
Woodbridge, ON, Canada:18.681256821838982
York University Observatory, ON, Canada:17.048250984167236
Cavendish, PE, Canada:21.389779871178156
Charlottetown, PE, Canada:18.68154314641369
North Cape, PE, Canada:19.76597605595586
Poverty Beach Observatory, PE, Canada:20.93623856604902
Slemon Park, PE, Canada:20.39667641160479
West Point(PE), PE, Canada:20.93623856604902
Akulivik, QC, Canada:21.215073404475916
Amos, QC, Canada:16.662474999506454
Baie-Comeau, QC, Canada:18.932116018149177
